AWP | BOOM (Minimal Wear)
Desert Eagle | Mudder (Minimal Wear)
Glock-18 | Sand Dune (Minimal Wear)
Tec-9 | Groundwater (Battle-Scarred)
Tec-9 | Groundwater (Battle-Scarred)
XM1014 | Fallout Warning (Field-Tested)
XM1014 | Fallout Warning (Field-Tested)
M4A1-S | Bright Water (Field-Tested)
Five-SeveN | Jungle (Factory New)
SSG 08 | Tropical Storm (Minimal Wear)
Nova | Tempest (Field-Tested)
MP7 | Army Recon (Well-Worn)
MP7 | Army Recon (Well-Worn)
M4A4 | X-Ray (Field-Tested)
Nova | Ghost Camo (Minimal Wear)
SCAR-20 | Crimson Web (Battle-Scarred)
P250 | Splash (Field-Tested)
AUG | Condemned (Battle-Scarred)
AUG | Condemned (Battle-Scarred)
G3SG1 | Polar Camo (Factory New)
FAMAS | Teardown (Field-Tested)
FAMAS | Teardown (Field-Tested)
P250 | Mehndi (Minimal Wear)
MP7 | Anodized Navy (Factory New)
Five-SeveN | Candy Apple (Field-Tested)
XM1014 | Fallout Warning (Well-Worn)
XM1014 | Fallout Warning (Well-Worn)
Sawed-Off | Orange DDPAT (Battle-Scarred)
AK-47 | Red Laminate (Minimal Wear)
Five-SeveN | Orange Peel (Battle-Scarred)
Five-SeveN | Orange Peel (Battle-Scarred)
XM1014 | CaliCamo (Factory New)
Nova | Modern Hunter (Well-Worn)
Tec-9 | Army Mesh (Well-Worn)
AWP | Safari Mesh (Minimal Wear)
AWP | Safari Mesh (Minimal Wear)
UMP-45 | Urban DDPAT (Well-Worn)
M4A1-S | VariCamo (Well-Worn)
M4A1-S | VariCamo (Well-Worn)
M4A4 | X-Ray (Minimal Wear)
FAMAS | Contrast Spray (Minimal Wear)
FAMAS | Colony (Factory New)
FAMAS | Colony (Factory New)
Sawed-Off | Amber Fade (Minimal Wear)
Sawed-Off | Amber Fade (Minimal Wear)
AK-47 | Fire Serpent (Field-Tested)
AK-47 | Black Laminate (Well-Worn)

G3SG1 | Desert Storm (Well-Worn)
StatTrak™ PP-Bizon | Water Sigil (Factory New)
Glock-18 | Brass (Well-Worn)
Glock-18 | Brass (Well-Worn)
M4A4 | Asiimov (Battle-Scarred)
XM1014 | Blue Spruce (Factory New)
AK-47 | Safari Mesh (Battle-Scarred)
AK-47 | Black Laminate (Field-Tested)
AK-47 | Black Laminate (Field-Tested)
Sawed-Off | Full Stop (Factory New)
Sawed-Off | Full Stop (Factory New)
Galil AR | Shattered (Well-Worn)
SCAR-20 | Contractor (Battle-Scarred)
SCAR-20 | Contractor (Battle-Scarred)
UMP-45 | Caramel (Battle-Scarred)
MAG-7 | Bulldozer (Field-Tested)
P90 | Fallout Warning (Minimal Wear)
AWP | Гадюка (После полевых испытаний)
AWP | Pit Viper (Field-Tested)
Five-SeveN | Orange Peel (Minimal Wear)
Five-SeveN | Orange Peel (Minimal Wear)
P2000 | Scorpion (Factory New)
P2000 | Scorpion (Factory New)
Tec-9 | Brass (Field-Tested)
Tec-9 | Brass (Field-Tested)
FAMAS | Colony (Battle-Scarred)
AK-47 | Predator (Well-Worn)
XM1014 | Blue Spruce (Battle-Scarred)
MAG-7 | Hazard (Field-Tested)
P90 | Death by Kitty (Field-Tested)
P90 | Death by Kitty (Field-Tested)
M4A4 | Desert Storm (Field-Tested)
AK-47 | Black Laminate (Battle-Scarred)
AWP | BOOM (Field-Tested)
UMP-45 | Fallout Warning (Field-Tested)
UMP-45 | Fallout Warning (Field-Tested)
P250 | Steel Disruption (Field-Tested)
XM1014 | Blaze Orange (Field-Tested)
G3SG1 | VariCamo (Minimal Wear)
Glock-18 | Dragon Tattoo (Minimal Wear)
AK-47 | Case Hardened (Field-Tested)
AWP | Graphite (Minimal Wear)
Five-SeveN | Forest Night (Well-Worn)
Five-SeveN | Forest Night (Well-Worn)
M4A4 | Jungle Tiger (Well-Worn)
M4A4 | Jungle Tiger (Well-Worn)
PP-Bizon | Sand Dashed (Factory New)
Five-SeveN | Jungle (Battle-Scarred)
PP-Bizon | Irradiated Alert (Well-Worn)
P250 | Modern Hunter (Minimal Wear)
Galil AR | VariCamo (Factory New)
Sawed-Off | Snake Camo (Battle-Scarred)
Sawed-Off | Snake Camo (Battle-Scarred)
P250 | Hive (Field-Tested)
M4A4 | Desert Storm (Battle-Scarred)
P90 | Blind Spot (Well-Worn)
USP-S | Dark Water (Field-Tested)
AK-47 | Red Laminate (Well-Worn)
P90 | Scorched (Minimal Wear)
FAMAS | Cyanospatter (Well-Worn)
FAMAS | Cyanospatter (Well-Worn)
P2000 | Granite Marbleized (Minimal Wear)
Nova | Sand Dune (Well-Worn)
StatTrak™ G3SG1 | Azure Zebra (Minimal Wear)
SG 553 | Tornado (Well-Worn)
M4A1-S | VariCamo (Field-Tested)
M4A1-S | VariCamo (Field-Tested)
Desert Eagle | Hypnotic (Minimal Wear)
P90 | Teardown (Minimal Wear)
XM1014 | Blue Steel (Minimal Wear)
MP9 | Sand Dashed (Battle-Scarred)
M4A4 | Jungle Tiger (Minimal Wear)
Nova | Candy Apple (Minimal Wear)
USP-S | Night Ops (Field-Tested)
SCAR-20 | Sand Mesh (Factory New)
SCAR-20 | Sand Mesh (Factory New)
Sawed-Off | Mosaico (Well-Worn)
MAC-10 | Amber Fade (Minimal Wear)
MAC-10 | Amber Fade (Minimal Wear)
FAMAS | Cyanospatter (Battle-Scarred)
P250 | Modern Hunter (Field-Tested)
P250 | Modern Hunter (Field-Tested)
AWP | Pit Viper (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
FAMAS | Cyanospatter (Minimal Wear)
UMP-45 | Fallout Warning (Well-Worn)
Nova | Predator (Well-Worn)
MP9 | Bulldozer (Minimal Wear)
P90 | Teardown (Well-Worn)
Sawed-Off | Irradiated Alert (Well-Worn)
Sawed-Off | Orange DDPAT (Well-Worn)
P90 | Scorched (Battle-Scarred)
Sawed-Off | Snake Camo (Minimal Wear)
Sawed-Off | Snake Camo (Minimal Wear)
Glock-18 | Brass (Field-Tested)
Glock-18 | Brass (Field-Tested)
Desert Eagle | Golden Koi (Factory New)
AK-47 | Case Hardened (Factory New)
MP9 | Hot Rod (Minimal Wear)
SCAR-20 | Splash Jam (Field-Tested)
SCAR-20 | Splash Jam (Field-Tested)
Tec-9 | Nuclear Threat (Field-Tested)
Tec-9 | Nuclear Threat (Field-Tested)
AWP | Snake Camo (Well-Worn)
AWP | Snake Camo (Well-Worn)
P2000 | Amber Fade (Minimal Wear)
M4A1-S | Nitro (Battle-Scarred)
SG 553 | Damascus Steel (Factory New)
SG 553 | Damascus Steel (Factory New)
P250 | Gunsmoke (Battle-Scarred)
FAMAS | Contrast Spray (Well-Worn)
Dual Berettas | Stained (Battle-Scarred)
Dual Berettas | Stained (Battle-Scarred)
AK-47 | Jungle Spray (Minimal Wear)
UMP-45 | Fallout Warning (Minimal Wear)
UMP-45 | Fallout Warning (Minimal Wear)
StatTrak™ Galil AR | Sandstorm (Field-Tested)
Glock-18 | Fade (Factory New)
MP9 | Orange Peel (Well-Worn)
MP9 | Orange Peel (Well-Worn)
P90 | Teardown (Field-Tested)
P90 | Teardown (Field-Tested)
Desert Eagle | Blaze (Factory New)
Desert Eagle | Blaze (Factory New)
AK-47 | Safari Mesh (Well-Worn)
AK-47 | Safari Mesh (Well-Worn)
Galil AR | VariCamo (Well-Worn)
M4A1-S | Boreal Forest (Factory New)
M4A1-S | Boreal Forest (Factory New)
M4A4 | Modern Hunter (Field-Tested)
M4A4 | Modern Hunter (Field-Tested)
AUG | Contractor (Well-Worn)
AUG | Contractor (Well-Worn)
XM1014 | Цвет луга (Закаленное в боях)
PP-Bizon | Night Ops (Field-Tested)
PP-Bizon | Night Ops (Field-Tested)
M249 | Gator Mesh (Battle-Scarred)
M249 | Gator Mesh (Battle-Scarred)
FAMAS | Spitfire (Field-Tested)
Nova | Graphite (Minimal Wear)
FAMAS | Hexane (Well-Worn)
P2000 | Ocean Foam (Minimal Wear)
MAC-10 | Palm (Well-Worn)
MAC-10 | Palm (Well-Worn)
G3SG1 | Jungle Dashed (Factory New)
USP-S | Night Ops (Battle-Scarred)
G3SG1 | VariCamo (Factory New)
G3SG1 | VariCamo (Factory New)
UMP-45 | Gunsmoke (Well-Worn)
AWP | Snake Camo (Field-Tested)
AWP | Snake Camo (Field-Tested)
MP9 | Orange Peel (Battle-Scarred)
MP9 | Orange Peel (Battle-Scarred)
G3SG1 | VariCamo (Battle-Scarred)
G3SG1 | VariCamo (Battle-Scarred)
PP-Bizon | Brass (Field-Tested)
PP-Bizon | Brass (Field-Tested)
M249 | Gator Mesh (Factory New)
M249 | Gator Mesh (Factory New)
StatTrak™ P250 | Steel Disruption (Factory New)
P90 | Teardown (Battle-Scarred)
P90 | Teardown (Battle-Scarred)
MAG-7 | Bulldozer (Well-Worn)
Sawed-Off | Copper (Field-Tested)
Sawed-Off | Copper (Field-Tested)
Dual Berettas | Stained (Factory New)
Dual Berettas | Stained (Factory New)
StatTrak™ Nova | Ghost Camo (Minimal Wear)
PP-Bizon | Brass (Well-Worn)
PP-Bizon | Brass (Well-Worn)
Tec-9 | VariCamo (Well-Worn)
FAMAS | Afterimage (Minimal Wear)
Nova | Walnut (Battle-Scarred)
SG 553 | Gator Mesh (Minimal Wear)
M4A1-S | Nitro (Minimal Wear)
M4A1-S | Nitro (Minimal Wear)
M4A1-S | Nitro (Minimal Wear)
Galil AR | Sandstorm (Well-Worn)
MAC-10 | Palm (Field-Tested)
Tec-9 | Brass (Well-Worn)
Tec-9 | Brass (Well-Worn)
Desert Eagle | Urban Rubble (Minimal Wear)
Desert Eagle | Urban Rubble (Minimal Wear)
MP9 | Dry Season (Factory New)
PP-Bizon | Rust Coat (Battle-Scarred)
Galil AR | Hunting Blind (Well-Worn)
SG 553 | Gator Mesh (Factory New)
SG 553 | Gator Mesh (Factory New)
MP9 | Orange Peel (Minimal Wear)
Tec-9 | Red Quartz (Field-Tested)
XM1014 | CaliCamo (Battle-Scarred)
SG 553 | Damascus Steel (Field-Tested)
SG 553 | Damascus Steel (Field-Tested)

G3SG1 | Arctic Camo (Battle-Scarred)
M4A4 | Jungle Tiger (Factory New)
Negev | CaliCamo (Battle-Scarred)
SSG 08 | Blood in the Water (Factory New)
MAC-10 | Tornado (Well-Worn)
M249 | Gator Mesh (Minimal Wear)
M249 | Gator Mesh (Minimal Wear)
AWP | Snake Camo (Minimal Wear)
AWP | Snake Camo (Minimal Wear)
AWP | Safari Mesh (Factory New)
P250 | Mehndi (Field-Tested)
Sawed-Off | Full Stop (Minimal Wear)
P250 | Mehndi (Well-Worn)
XM1014 | Blue Steel (Well-Worn)
AK-47 | Fire Serpent (Battle-Scarred)
Five-SeveN | Silver Quartz (Factory New)
M4A4 | Modern Hunter (Minimal Wear)
M4A4 | Modern Hunter (Minimal Wear)
SG 553 | Damascus Steel (Battle-Scarred)
P250 | Bone Mask (Factory New)
USP-S | Night Ops (Factory New)
USP-S | Night Ops (Factory New)
USP-S | Serum (Field-Tested)
Galil AR | Orange DDPAT (Battle-Scarred)
Tec-9 | VariCamo (Factory New)
Tec-9 | VariCamo (Factory New)
Galil AR | VariCamo (Battle-Scarred)
AUG | Condemned (Well-Worn)
AUG | Condemned (Well-Worn)
P250 | Gunsmoke (Well-Worn)
PP-Bizon | Modern Hunter (Field-Tested)
StatTrak™ Five-SeveN | Nightshade (Factory New)
Tec-9 | Brass (Minimal Wear)
Five-SeveN | Contractor (Well-Worn)
M249 | Blizzard Marbleized (Battle-Scarred)
USP-S | Overgrowth (Well-Worn)
AWP | Snake Camo (Battle-Scarred)
AWP | Snake Camo (Battle-Scarred)
M4A4 | Radiation Hazard (Minimal Wear)
M4A4 | Radiation Hazard (Minimal Wear)

StatTrak™ M4A1-S | Bright Water (Minimal Wear)

SG 553 | Waves Perforated (Factory New)
FAMAS | Spitfire (Minimal Wear)
FAMAS | Teardown (Factory New)
FAMAS | Teardown (Factory New)
StatTrak™ M249 | Magma (Battle-Scarred)
AK-47 | Jungle Spray (Battle-Scarred)
AK-47 | Jungle Spray (Battle-Scarred)
SCAR-20 | Palm (Well-Worn)
MAG-7 | Hazard (Well-Worn)
Sawed-Off | Copper (Battle-Scarred)
M4A4 | Radiation Hazard (Battle-Scarred)
M4A4 | Radiation Hazard (Battle-Scarred)
MAC-10 | Candy Apple (Field-Tested)
XM1014 | Blue Spruce (Well-Worn)
XM1014 | Blue Spruce (Well-Worn)
SG 553 | Gator Mesh (Battle-Scarred)
SG 553 | Damascus Steel (Minimal Wear)
G3SG1 | Arctic Camo (Well-Worn)
M4A1-S | Nitro (Factory New)
M4A1-S | VariCamo (Minimal Wear)
XM1014 | CaliCamo (Minimal Wear)
XM1014 | CaliCamo (Minimal Wear)
M249 | Blizzard Marbleized (Well-Worn)
Sawed-Off | The Kraken (Minimal Wear)
Nova | Modern Hunter (Minimal Wear)
Galil AR | Winter Forest (Battle-Scarred)
Five-SeveN | Silver Quartz (Field-Tested)
Five-SeveN | Silver Quartz (Field-Tested)
★ Bayonet | Crimson Web (Minimal Wear)
FAMAS | Spitfire (Factory New)
MAG-7 | Bulldozer (Factory New)
M4A1-S | Guardian (Well-Worn)
Dual Berettas | Demolition (Field-Tested)
Dual Berettas | Demolition (Field-Tested)
StatTrak™ M4A1-S | Blood Tiger (Factory New)
USP-S | Forest Leaves (Well-Worn)
USP-S | Forest Leaves (Well-Worn)
Nova | Blaze Orange (Field-Tested)
AUG | Copperhead (Minimal Wear)
StatTrak™ M4A1-S | Blood Tiger (Minimal Wear)
★ Flip Knife | Slaughter (Factory New)
★ StatTrak™ Gut Knife | Boreal Forest (Field-Teste
Glock-18 | Brass (Minimal Wear)
Glock-18 | Brass (Minimal Wear)
StatTrak™ FAMAS | Pulse (Field-Tested)
P90 | Glacier Mesh (Field-Tested)
P90 | Glacier Mesh (Field-Tested)
Tec-9 | Red Quartz (Minimal Wear)
Dual Berettas | Cobalt Quartz (Minimal Wear)
Desert Eagle | Mudder (Factory New)
MP9 | Sand Dashed (Factory New)
MP9 | Sand Dashed (Factory New)
Tec-9 | Nuclear Threat (Minimal Wear)
Tec-9 | Nuclear Threat (Minimal Wear)
AK-47 | Fire Serpent (Minimal Wear)
StatTrak™ Galil AR | Shattered (Field-Tested)
M4A4 | Urban DDPAT (Well-Worn)
M4A4 | Urban DDPAT (Well-Worn)
StatTrak™ M4A1-S | Guardian (Field-Tested)
P250 | Mehndi (Battle-Scarred)
StatTrak™ Nova | Ghost Camo (Factory New)
StatTrak™ Five-SeveN | Kami (Field-Tested)
SCAR-20 | Crimson Web (Factory New)
Five-SeveN | Nightshade (Well-Worn)
PP-Bizon | Brass (Battle-Scarred)
StatTrak™ G3SG1 | Demeter (Well-Worn)

SG 553 | Tornado (Factory New)
StatTrak™ Dual Berettas | Marina (Well-Worn)
P250 | Nuclear Threat (Minimal Wear)
P250 | Nuclear Threat (Minimal Wear)
Nova | Sand Dune (Factory New)
Glock-18 | Candy Apple (Field-Tested)
Glock-18 | Candy Apple (Field-Tested)
Dual Berettas | Marina (Well-Worn)
SG 553 | Damascus Steel (Well-Worn)
SG 553 | Damascus Steel (Well-Worn)
M4A1-S | Guardian (Battle-Scarred)
SCAR-20 | Carbon Fiber (Minimal Wear)
StatTrak™ SG 553 | Wave Spray (Minimal Wear)
FAMAS | Pulse (Well-Worn)
StatTrak™ Five-SeveN | Kami (Minimal Wear)
AWP | Lightning Strike (Minimal Wear)
MP9 | Bulldozer (Well-Worn)
MP7 | Whiteout (Battle-Scarred)
Tec-9 | VariCamo (Battle-Scarred)
Tec-9 | VariCamo (Battle-Scarred)
MAG-7 | Пиксельный камуфляж «Металлический» (Немного поношенное)

StatTrak™ Sawed-Off | Orange DDPAT (Field-Tested)
MP9 | Bulldozer (Battle-Scarred)
StatTrak™ MP9 | Rose Iron (Field-Tested)
StatTrak™ UMP-45 | Bone Pile (Minimal Wear)
StatTrak™ Nova | Rising Skull (Field-Tested)
StatTrak™ Nova | Rising Skull (Field-Tested)
Sawed-Off | The Kraken (Well-Worn)
P250 | Mehndi (Factory New)
SCAR-20 | Palm (Factory New)
P250 | Sand Dune (Factory New)
StatTrak™ M4A4 | Faded Zebra (Battle-Scarred)
P90 | Teardown (Factory New)
StatTrak™ Nova | Ghost Camo (Field-Tested)
Five-SeveN | Silver Quartz (Minimal Wear)
SSG 08 | Blue Spruce (Factory New)
SSG 08 | Blue Spruce (Factory New)
P250 | Nuclear Threat (Factory New)
★ M9 Bayonet | Crimson Web (Minimal Wear)
Nova | Rising Skull (Battle-Scarred)
AK-47 | Black Laminate (Factory New)
PP-Bizon | Brass (Factory New)
Dual Berettas | Marina (Factory New)
SCAR-20 | Splash Jam (Battle-Scarred)
XM1014 | CaliCamo (Well-Worn)
FAMAS | Spitfire (Well-Worn)
P90 | Sand Spray (Factory New)
P90 | Sand Spray (Factory New)
Dual Berettas | Black Limba (Factory New)
P2000 | Scorpion (Minimal Wear)
Five-SeveN | Nightshade (Battle-Scarred)
Tec-9 | Groundwater (Factory New)
Tec-9 | Groundwater (Factory New)

Tec-9 | Nuclear Threat (Battle-Scarred)
Tec-9 | Nuclear Threat (Battle-Scarred)
AWP | Electric Hive (Well-Worn)
USP-S | Night Ops (Well-Worn)
USP-S | Night Ops (Well-Worn)
P250 | Modern Hunter (Battle-Scarred)
FAMAS | Teardown (Well-Worn)
FAMAS | Teardown (Well-Worn)
StatTrak™ Dual Berettas | Hemoglobin (Minimal Wear
★ M9 Bayonet | Scorched (Field-Tested)
StatTrak™ Nova | Rising Skull (Minimal Wear)

UMP-45 | Caramel (Factory New)
P90 | Ash Wood (Well-Worn)
StatTrak™ Glock-18 | Dragon Tattoo (Factory New)
StatTrak™ Glock-18 | Dragon Tattoo (Factory New)
Tec-9 | Nuclear Threat (Well-Worn)
Five-SeveN | Forest Night (Factory New)
Five-SeveN | Forest Night (Factory New)
Desert Eagle | Blaze (Minimal Wear)
AWP | Pit Viper (Well-Worn)
AWP | BOOM (Factory New)
P250 | Nuclear Threat (Battle-Scarred)
MP7 | Whiteout (Well-Worn)
StatTrak™ AK-47 | Blue Laminate (Field-Tested)
M249 | Gator Mesh (Well-Worn)
StatTrak™ M4A4 | Faded Zebra (Field-Tested)
StatTrak™ MP9 | Rose Iron (Factory New)
StatTrak™ P250 | Hive (Factory New)
StatTrak™ P250 | Hive (Minimal Wear)
StatTrak™ SG 553 | Ultraviolet (Battle-Scarred)
StatTrak™ MAG-7 | Memento (Minimal Wear)
StatTrak™ MAG-7 | Memento (Factory New)
MAC-10 | Palm (Factory New)
Sawed-Off | Full Stop (Well-Worn)
FAMAS | Spitfire (Battle-Scarred)
★ Gut Knife | Forest DDPAT (Well-Worn)
Desert Eagle | Urban Rubble (Battle-Scarred)
Desert Eagle | Urban Rubble (Battle-Scarred)
★ Karambit | Boreal Forest (Field-Tested)
MP7 | Anodized Navy (Minimal Wear)
PP-Bizon | Night Ops (Well-Worn)
StatTrak™ M4A1-S | Dark Water (Minimal Wear)

StatTrak™ AK-47 | Case Hardened (Battle-Scarred)
StatTrak™ Tec-9 | Blue Titanium (Factory New)
StatTrak™ Nova | Graphite (Factory New)
StatTrak™ Nova | Graphite (Factory New)

P250 | Gunsmoke (Factory New)
Dual Berettas | Demolition (Battle-Scarred)
StatTrak™ SCAR-20 | Crimson Web (Battle-Scarred)
Dual Berettas | Marina (Battle-Scarred)
Nova | Predator (Factory New)
PP-Bizon | Modern Hunter (Well-Worn)
AWP | Redline (Well-Worn)
M4A4 | Modern Hunter (Battle-Scarred)

StatTrak™ AK-47 | Blue Laminate (Factory New)
StatTrak™ AK-47 | Blue Laminate (Factory New)
MP7 | Army Recon (Factory New)
MP7 | Army Recon (Factory New)

G3SG1 | Arctic Camo (Factory New)
StatTrak™ MP9 | Hypnotic (Factory New)
StatTrak™ AWP | Electric Hive (Field-Tested)

StatTrak™ AWP | Graphite (Factory New)
Glock-18 | Brass (Battle-Scarred)
Glock-18 | Brass (Battle-Scarred)
Dual Berettas | Contractor (Factory New)
Dual Berettas | Contractor (Factory New)
P2000 | Granite Marbleized (Factory New)
P2000 | Granite Marbleized (Factory New)
★ M9 Bayonet | Blue Steel (Minimal Wear)
MAC-10 | Graven (Factory New)
MAC-10 | Graven (Factory New)
AUG | Colony (Factory New)
Tec-9 | Brass (Factory New)
StatTrak™ P90 | Blind Spot (Minimal Wear)
Nova | Polar Mesh (Factory New)
SCAR-20 | Splash Jam (Well-Worn)
AWP | Pit Viper (Battle-Scarred)
AWP | Pit Viper (Battle-Scarred)
StatTrak™ SG 553 | Ultraviolet (Field-Tested)
MP9 | Orange Peel (Factory New)
MP9 | Orange Peel (Factory New)
Sawed-Off | Snake Camo (Factory New)
Sawed-Off | Snake Camo (Factory New)
StatTrak™ PP-Bizon | Water Sigil (Minimal Wear)
StatTrak™ M4A1-S | Dark Water (Field-Tested)
StatTrak™ AWP | Electric Hive (Minimal Wear)
StatTrak™ AWP | Electric Hive (Minimal Wear)
StatTrak™ PP-Bizon | Cobalt Halftone (Field-Tested
★ M9 Bayonet | Case Hardened (Minimal Wear)
★ Bayonet | Boreal Forest (Field-Tested)
StatTrak™ PP-Bizon | Cobalt Halftone (Minimal Wear
StatTrak™ USP-S | Overgrowth (Field-Tested)


★ Flip Knife | Blue Steel (Field-Tested)
StatTrak™ P90 | Blind Spot (Factory New)
StatTrak™ Five-SeveN | Nightshade (Field-Tested)
StatTrak™ Five-SeveN | Nightshade (Field-Tested)
★ Flip Knife | Safari Mesh (Field-Tested)
M4A4 | Asiimov (Well-Worn)
StatTrak™ M249 | Magma (Minimal Wear)

StatTrak™ Dual Berettas | Marina (Field-Tested)
★ Karambit | Fade (Factory New)
StatTrak™ SCAR-20 | Crimson Web (Field-Tested)
UMP-45 | Blaze (Minimal Wear)
UMP-45 | Blaze (Minimal Wear)
AK-47 | Safari Mesh (Factory New)
AK-47 | Safari Mesh (Factory New)
StatTrak™ Galil AR | Shattered (Minimal Wear)
Five-SeveN | Orange Peel (Factory New)
M4A4 | Urban DDPAT (Factory New)
★ Gut Knife | Stained (Well-Worn)
★ StatTrak™ Karambit | Stained (Minimal Wear)
StatTrak™ M4A1-S | Guardian (Minimal Wear)
Desert Eagle | Golden Koi (Minimal Wear)
StatTrak™ AK-47 | Case Hardened (Field-Tested)
StatTrak™ AK-47 | Case Hardened (Field-Tested)
StatTrak™ FAMAS | Doomkitty (Field-Tested)
StatTrak™ Galil AR | Orange DDPAT (Field-Tested)
StatTrak™ Galil AR | Orange DDPAT (Field-Tested)
StatTrak™ Nova | Tempest (Field-Tested)
StatTrak™ M4A1-S | Bright Water (Field-Tested)
StatTrak™ M4A1-S | Bright Water (Field-Tested)
UMP-45 | Gunsmoke (Factory New)
UMP-45 | Gunsmoke (Factory New)
StatTrak™ MAC-10 | Graven (Field-Tested)
StatTrak™ P90 | Blind Spot (Field-Tested)

StatTrak™ M4A4 | Faded Zebra (Minimal Wear)
★ Bayonet | Scorched (Field-Tested)
StatTrak™ FAMAS | Hexane (Minimal Wear)
★ Gut Knife | Blue Steel (Minimal Wear)
Galil AR | Sage Spray (Factory New)
Galil AR | Sage Spray (Factory New)
P90 | Fallout Warning (Factory New)
M4A1-S | VariCamo (Battle-Scarred)
M4A1-S | VariCamo (Battle-Scarred)
StatTrak™ G3SG1 | Demeter (Minimal Wear)
StatTrak™ AK-47 | Blue Laminate (Minimal Wear)
StatTrak™ AK-47 | Blue Laminate (Minimal Wear)
StatTrak™ AUG | Wings (Minimal Wear)
P90 | Glacier Mesh (Factory New)
★ Bayonet | Night (Field-Tested)
FAMAS | Teardown (Battle-Scarred)
FAMAS | Teardown (Battle-Scarred)
StatTrak™ Galil AR | Sandstorm (Battle-Scarred)
StatTrak™ USP-S | Overgrowth (Minimal Wear)
StatTrak™ USP-S | Overgrowth (Minimal Wear)
USP-S | Overgrowth (Factory New)
StatTrak™ Dual Berettas | Marina (Battle-Scarred)
★ Gut Knife | Forest DDPAT (Battle-Scarred)
StatTrak™ M4A4 | Zirka (Minimal Wear)
StatTrak™ M4A1-S | Blood Tiger (Field-Tested)
StatTrak™ USP-S | Overgrowth (Battle-Scarred)
StatTrak™ FAMAS | Hexane (Factory New)
StatTrak™ AWP | Redline (Field-Tested)
StatTrak™ AWP | Redline (Field-Tested)

StatTrak™ Sawed-Off | The Kraken (Factory New)
StatTrak™ M4A4 | Faded Zebra (Well-Worn)

StatTrak™ FAMAS | Afterimage (Field-Tested)
Sawed-Off | Amber Fade (Well-Worn)
XM1014 | Fallout Warning (Factory New)
UMP-45 | Fallout Warning (Factory New)

★ Bayonet | Fade (Factory New)
Dual Berettas | Cobalt Quartz (Well-Worn)
Dual Berettas | Cobalt Quartz (Well-Worn)
StatTrak™ SG 553 | Wave Spray (Battle-Scarred)
P2000 | Amber Fade (Well-Worn)
★ Karambit | Safari Mesh (Field-Tested)
★ M9 Bayonet | Safari Mesh (Minimal Wear)
StatTrak™ M4A4 | Zirka (Well-Worn)
StatTrak™ USP-S | Dark Water (Field-Tested)


★ Karambit | Case Hardened (Field-Tested)
★ Bayonet | Forest DDPAT (Field-Tested)
StatTrak™ AK-47 | Red Laminate (Field-Tested)

Tec-9 | Red Quartz (Well-Worn)
Glock-18 | Brass (Factory New)
StatTrak™ USP-S | Serum (Minimal Wear)
★ Gut Knife | Slaughter (Minimal Wear)
★ Karambit | Slaughter (Factory New)
StatTrak™ Desert Eagle | Hypnotic (Factory New)

★ Flip Knife | Scorched (Field-Tested)
StatTrak™ P250 | Mehndi (Field-Tested)
StatTrak™ P250 | Mehndi (Field-Tested)

StatTrak™ FAMAS | Pulse (Minimal Wear)
USP-S | Forest Leaves (Factory New)
USP-S | Forest Leaves (Factory New)
PP-Bizon | Modern Hunter (Factory New)
AUG | Hot Rod (Minimal Wear)

StatTrak™ FAMAS | Pulse (Factory New)
StatTrak™ FAMAS | Pulse (Factory New)
★ Flip Knife
StatTrak™ G3SG1 | Azure Zebra (Field-Tested)
StatTrak™ Dual Berettas | Marina (Minimal Wear)

★ Karambit | Night (Field-Tested)
